title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Software Engineer 2- BIOS Automation,Data Engineer,Dell Technologies,"Bengaluru, Karnataka","As a Software Engineer 2, responsible for the design and development activities associated with methods for Automating /Validating hardware/software systems,…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tUBe2prqhCP1yYc_3luScx6p_JXsY0uz1l0w6PbcYvBD42XJDFLVI-vtm1ivCkXHiCB0sNdowjXep6r1uXWziOJGJmLoPVjBHQk8qXs4T3uc7iDgMcUp8lYAGxD30fI7IzIvkyO2nIJS2GvatCft02JCG_FAhnBym8oiRdYVgizraN2d74Ri3TfxEZW8EuCCfpN7ACr8VIFAHw6qoNczUwkqpOC_UOsteUe1ULdR5w0eEqZiJ4iNeeKuq8yZa1wPv3TSgQSc0VJSA3D8xk1RPTCyLmGwMW7vLsWpxt35sns0RpJHiC3JAkIhgZguJ77NA9_GQmR5shHMobAYLmbWNOogf6IX9ZKmcJ6Z-HhpCvbsPkeKfY3Zza8P720t73ssQm6wqOBvYsukufQIp9n5DHerz__m2ExNSMsKpUMJzUotcU9Ac1Kfd7tbZb-vNvStM1pLFBQXYj0sVeamQeInqsg5ghNfNMAoablSx20r5sABIEtX_vHMMudHWr_Z_wNwVxiNXTEK2kLItqRqoJzEqX4qBS-tnlRhxC58MdSLRBSVBmOmQYdGg6RQxSHR4kJ7823ukUYS9qs3TI_bIqM4IknRON8ANZXGjC8je7HBM0uYjCvcqyvFZEk2LycqKFu89WQhufPk_kumSoi-Lk571xB4_gETGg0prnpXgsLBL5f-ylSeJT_mxZvDCVX82OKYj7B8SfRtpZHdzlGLBV_1x76pjz5DbjRO9bhcC6t-x0xmBb76okjiOEbXZSqOiKeY21FdO3P8TqZMmL7KbpvSUkkBX6zb9DADU3DEIDqijEHaWmxQV8t9pv0qHSXEoN-WdoYKoCamLzIYOAOa1eksS-VmmI01S0kvCOVkRc4UqDSJKGj5Gy_xoyqEqlnijazdiybyyAyAuxE8IAJvsa1tnzNZZDTyvhUKx24xRdsv01WR4KSmrPwuRG85aMzO-YJW9CpncsjkkNVoFQc1EmzqsFGraNqp3s5C7aAaV7V6p_XlfOzF6_3v8KzDK6abFHADKGeQFNwYyP5LS2pfFLWLSJWh01k_gL7I38DW9OJUdRmDJfpMEBszwu22iTSKRP8b9JKb3DAyiz3uAefUMzfhjF1xagI4lHZj4L6urLnsSFb0f87H-UqJNQhgIkYBDrjKLNRQjtirEdS5huyVU1fOgrXqOCd9m6Q9Rz73HeRp9rQg&xkcb=SoCF-_M3SyqrBTSFhp0JbzkdCdPP&p=0&fvj=0&vjs=3
Broadcast Engineer,Data Engineer,"Conference Technologies, Inc.","Pune, Maharashtra","Key participant in business development including RFP responses, bid interviews, and engineering sales calls with potential clients.",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0AiNMvsi1d0NtjZYREhIAd6FHX2DLU0Qp6h76bZjiVpNzbqJrYR1nNUcDWvI9hNhJG2zbz76Atif205FauDTekGxdZ9EUhN5zvBAlu3rHUrNnglkgiLsvbm-mDJroWTg_dBBS8Ik4qqzxKOIQK0iFeNwFTg3Sddpc5Rs1ZKsqscc8NHdlr81C3_3hYzNTB-J0Oh9rj4yFvOKu0PnxIrwk6EkKBP0TTseduTBZplto3sUdfwC8hm8nI0ItYoTvGcx6G6NnXOEKIDM47b9yvBiSbnfvPugNkVtNnNLYjPXsoI8pCmI7pjGmwC7HZNcpyNNlrEM30tsy6J5m_cQu7bDXzj-b-Ca_01RBnmnlYtgMPA4JtdYr6CrCoSKF60k2qJAT_tNMjZL9S6HWzmQRFwbpuYlIDP5k1mDsL2vySgIJ06QYkHOT-JQ-FBmAmGGek1u2rhMSamOKvOn4UXlDlLP-An17p5VBv_oXghMm3B7TAPCvZEKY1dT66-K_Qh8SRLE3UirCF2NcC7qBzrAWLcxiaH&xkcb=SoAx-_M3SyqrBTSFhp0IbzkdCdPP&p=1&fvj=1&vjs=3
Software Engineer,Data Engineer,Clarivate,"Bengaluru, Karnataka","The team consists of 10-12 engineers and is reporting to the Sr Manager.
We have a great skill set in Spark, Java, Scala, Hive, Sql, XSLT, AWS EMR, S3, etc and…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BUkGQXKvz_vqTVnr0Vn5RYEtDOUY0w86cUTSPT2moMg1hz6LtadXLtghczIzGeDKg9857LlF8_hD-w2Y5UT8DlbwtPCegZ2uZZcdZN3n_0MHkRrRNGxhB5rpwa826CDw5adlsO0g_YHdoT4xDi18LMKnO1ICk92-SrOeaSGjFse851_US1JgU5WY2vgD9EgXYm6tJ7HKH6bhvkFJPyvXUS8teHTR9nYJm1lF__WLLkgOiZMIerQssfuch8nwcAB0nYZdCUGiiIGEcAhcP0JOoBAqqHBZ1tcFtDygSbtG4wacd7sfTJ41t9XRsnBndKlQk7DUHxn8PeRnJzJDcnuHULJdtcXj23j6CmTt2FAh6GRaUclcxdAWdPOrNi2iSjLP13rA-E-eV2mzAZR0QrcLtlNPwlx2hws0DfQRo5Kj3xSPAJ92JdWyrI0Ybx4lTKg-fzTNk2AFj6IZaRTKoVKHfEQ-W8WN6EEy9pCvm5GhWHxVlKxUNQiHEruiIN1LLZRBs0DxnAf3_-BRWzm68jfkuHvsgKc3nDR57iZLA7DYAVF28ADEhkA4E1weOQmD_y5KiyTNjAPAKM5rDyo82xowh0e_aZak3LMK8c_g8mvDhvfup7kdnVdgxN&xkcb=SoDp-_M3SyqrBTyFhp0LbzkdCdPP&p=2&fvj=0&vjs=3
SR Mulesoft Engineer,Data Engineer,Giant Eagle,"Yelahanka Satellite Town, Karnataka",Work on problems of moderate scope where analysis of situations or data requires review of a variety of factors.,PostedPosted 13 days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0B9Z5kUrYpJSl1jY-NmjPX7HlwbyZlOtE5lNuYxyWYp6wH4w4oCjnyWj2mpoyouuSa9sc9gWSTtJ0GCuCF597n7qWtncdSiCvSJzFyxymL3k6tJ7gIRD13V-pL17RP2ra3zlXCs09mHKMmcaHLdWBHX7_ZV0njopUD7OWKx8Dgwyy0KwzCikznwA1oxh6IToJOD1e5i-jZ7dNRiOpKIHVeve1Ct5K-WLTq4bXtzqLLOERX-0mZy1OAjGJfXc7NT381U5FPD0BZg5u2mc1LlM3P0Ph8C8B980p-YvV0Ww0CysnWrCCJRU6dAZ6NsDV4MSPkzYZ0e07HGeXhuvHrw_-nb3BHOS1klpAKMmKi61ndtR4RYRUS2diCAwNl5sp3vNvP-IuPjrRcYEpJPYiOPcI7VxZHiScMI139u2-GmzwLDQy45txgQPhLhkOKnDI9f3nVh7nMXnC52p00uUeK-T-8GEFvFCA7l6V9vRm_ylVW3LOteLBtmvw8HFsP4Kp9OwdVQO1jA7imF885RswqPnMzAsUcrbcov-OM=&xkcb=SoBd-_M3SyqrBTyFhp0KbzkdCdPP&p=3&fvj=0&vjs=3
R216181 Manager 2 Software Engineering - Embedded Controller,Data Engineer,Dell Technologies,"Bengaluru, Karnataka","As a Software Engineering Manager 2, leading a team of engineers responsible for the Embedded Controller Project.
Should have strong development fundamentals.",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tUBe2prqhCP1yYc_3luScx6iYWSxaefqm8ujQpxOLg7JNkfROIqc-3ZGaQaNSVMe_J-kHc0YJfFd_jGuJHBgrWjkjHwGJs5aGlULW-4ujr0fDFHACqspKcaprUZgIXt57acmvAXKN4LA1lKCEMHX2tUO_K6BvdTeNgdF7qB8ZonzhZKJgpXHWXTvsfkHoKftApdzZkjw-z3QtFFh7ui5sSsfAUv3IPBux6dGsRM4i3vHjxMkIOSSD8bOn4xdE9Oz6Em6_0I7Jw6TAAYeOSTBmgVPTeCa6Zp-NkKNN_6bxPwkoDcwp-IjxnEKktVB34ndCqu76QD7d7owtF9vO8qH_Au_bM_mZenjoXUKrFQ6VxxuhwfunSccU6sjfZNic2oAhPkerD5j81PNFGQhGffeoMziOK3NrMkX6M0l2UNioZd5jmIKQsiDAHMq985RApBpNAK9TprsohBvvPYqmZoYQFhSwWVF8Z40xcg6FBRmpC6XdaBiAvSa4907j6FnVdGNS2DCLx7593pdAUrjmPAlQkW-NyFvLC5ac0H_D5iCCiboghGEGmyVeyQ83KnptHJ_wb4VD7r12mhZGe_fl3RZoA_uJOQRIsiiGbROciLZTeIAxXyOdJIY1JhKDt2tba0LlvOxVQq1j59Zhm9H1qxLba9q0t_4n7TC5zNWJ9vBSpi3GH8sv-wSdH69y-qJrJ1Ns5DwjajADpKuD6GikhCc1wMFkd9J0ZQ23AnuIIS0zsOrG9k45fJ9jJxIpYcMVBFy1Ig2k0Z5zeou2-60PcySy0jIsCb1PLwoNJm6_Xm9hRvpjJfhMrmeKElAKmzKxczbSw9AChKEDiSeKsRuTJ00rnLWQCkC-tY7Pcg95mnvydkatreqacWVgxfNda5ihsCjm4x5acOnIN50iFaPcC-QYHTWgsknIOf5jYJpbMbntd1qzXaLdvB2_-1tXHgmpYtP99h5b7TpTfFwwzrzI3GyTRuDDlF0iyHDmv_K997Pznu3J-j_oup9lFXaO2l2O1JjJCb1f-XPSTjpW0vXAQ_qqplBwc7O3uedRsjZBi6brHNP61fgqRUnTUrRnamsWDohCU5beJxRRJj8d8bzwqH91e1KR5SaGHUrDJVq41P8mh8NcpnVJ_AIPU5UNOBKTFvfphVwu3SdLx0y60S2j1YBz-Zac51ghpqJwW-tgcxV-9to&xkcb=SoDA-_M3SyqrBTyFhp0JbzkdCdPP&p=4&fvj=0&vjs=3
Data Modeler,Data Engineer,Giant Eagle,"Yelahanka Satellite Town, Karnataka","Provide technical leadership, mentoring and training of existing software engineers.
Enables us to expand internal capabilities in the areas such as data…",PostedPosted 12 days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0B9Z5kUrYpJSl1jY-NmjPX7HlwbyZlOtE5lNuYxyWYp6wH4w4oCjnyWj2mpoyouuSbZu4ZoFViJFpgbvVRfYKp-yAzmA4B572gxQrPQTNWbXMTHfIo0-K6meDlID-_siVVVXMtLZCdZzOHGjnzCF3egjZGAzvAaU8vMjle4W1tTocmOYWHVsVQTtA-x9zNz2If0h5Rl103Qc7KLdO4uHVue_zFHwxBj_5aep5fwZ0CZSPYalzS5PqDPsjAXEYHsz-fcww6oRTJWU0TpfyffAAhzJXILoc99fBAQdYQlIU5c4TS_heGo6mhtGpU4sYtYTeYTcEUToFJN0ZmeilmHaXisM8TnInvx0b80vy0iot9-mUiFyeblMy_pr6ekVRdZZh0rinpGoFSPw0Xivm3mG3ZjSQ14XulBP5Ps5-fevI3ZbRHjjoSynHU5phQYu3_4DnZA4vshPo9nTWcwvAqqv8lH6H97Pk7htGwZNU9TB7WP2if0nlJC89Mjy_fWt2TZl2po-262lPcsAx6eAE6ERxsZ0Wdv45aPMAY=&xkcb=SoB0-_M3SyqrBTyFhp0IbzkdCdPP&p=5&fvj=0&vjs=3
Computer Science - online tutor/expert,Data Engineer,Chegg India,Remote in India,Anyone looking for IT Consultant/Cyber security Engineer or Cyber security Consultant/Information Systems Manager/Database Administrator/Multimedia Programmer…,Hiring ongoing,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BBJGzQ3pZDDCAurZe0N9GWXS38iI_dIqspGlSJHY7voQrVdbngFuoJCkBlWJBtFeQCW6dmOHSrKMr95EaxIe18PVisEew6mc30CKO9ssAQvo1Vc3lZZu0kY6HwYxWqeaXi1LwzUaOH_RkHDvsa_-uhO5CdSdLMajQDZ3E6Z6DFsHeoMJZYujak9e2gaWtlU5ymp_n4vJTORD2pkdxreWJFErJ3IsNpsdNF0pxkXOnWekQ6wT3omjSw86bDJIGNma0HGLkj5JaXJdf7bkAMVWuyGjOqsBethLaFQh6cSOV_BrFICwtHu-C2Xkv56qvS2dvCLT_VbiWXq9G4DBuK53SrYe8tavfVyuZB5PpCh0ANIpC4fiV2sRFafxO0hSXJcZRC55oF7XsbGMOoUaIFDjNTaJDJ-6uc6dUQ91eJ-WbcJkIXOVmQCqiH79UjCXEsJhy-5DGJ7F1PjMp1kCqNGFYUpBZlnBKdpCSAc6OdnXFYyTgdTcsIokQo2mGYopUY9q_v854iJb8bvtFnqPxa5sANJu7XQmuonOY4qBQOdZ4Yt2jCOmzlWL9fnqt9OjcZLxZAfCTcguSsYLISWcwW1JZCAzCck792Xs89P65hliY8VYd7wm_8NE7w&xkcb=SoD6-_M3SyqrBTyFhp0PbzkdCdPP&p=6&fvj=1&vjs=3
WSO2 Engineer,Data Engineer,Exaze,"Hyderabad, Telangana","Work closely with Business Analysts to analyze and understand the Business Requirements and Business cases, in order to produce simple, cost-effective and…",EmployerActive 2 days ago,"₹8,00,000 - ₹16,00,000 a year",2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0DXaHWapi88SlLW5qoLM-SVTAyjQRaSbppsfhqX3YVgp_Ju5ne8qzhq-JKiWgVUWZwyUeXsTpyR5U_R3B-mubj-zsr_FhAaFikOoOc2uCIoZLuoz9IJfeXwqTRkpS44ExF6F6623im1bE8IIAOsiWV_6EDEB8Z4LZmraJ1d5PUy8yWIWh2NpNqjPbFzF-LYPJsS-kzZt2a3FJdI-geXUeKnjg84iHCw8sVkqms_RS1JjATRJPKHvHBqAywhep2-Sj1Hw9KCpPeJ5HilaVbdIQ9CtzND5r4wFdzIQxSiKP4pfwt2_hPrVgX1ibkLqHZxfntwP6MzeCsXNPjKBwtPxFRht6MS3HLN_rl1tvZ46d9zT8G4jOw_VmDUYDLguS7WGGXVI6uq0q4Dfzrp6JRT72260FGFhcyxjuSijE34tySSgV9RQxqt3UYa8xZXiue2eG_OvFfGSkLt548xyHJsvVYqnVlUMQyAuTKQpH8B5htf3sq9r6o1kHXgYrj0qx6EdeKwE9jJWAFQblsNCSqN32tQW3-Jua7AJWY=&xkcb=SoBO-_M3SyqrBTyFhp0ObzkdCdPP&p=7&fvj=1&vjs=3
Sr. Data Engineer,Data Engineer,Genworth,"Noida, Uttar Pradesh","Proficient in Cleaning and structuring the data by applying feature-engineering techniques.
As part of your role, you will be responsible to develop and…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0DveHtaohNZTTr4NJ6iQ6LvBAugsddynFItxJfHbw6F-KCCBzz-kRnWozZCoRv0wg_W1ImkkiWNPY_DwF-HpEbgTTd_jI1zwdRg2KDoujy2fIbIYdi-kBUUom9WbC-x4gF2T0GwFMF4Wm4ZShKF_ywjgWUYf7CQl8sThJiv0iLltuGQarLKRwiZlEgbY01UqJyLcbHTnLc20G9FEttHe6nYUkrNAGIk9jrzUO6byb5AKwTxPpM7FI2yFVJJr5Ln4_bKjWBR3-w18BkvsY3kKbN6Hg5y3EyV0XkSP26lOyd1-uH2LI0hVCo_l6ZXPni8E9leitVN1aaujrpMKe_nCtCxaFFLB5WJ3tHi_QsA7-EdC3Lx8jqKQLAWXXlmaVGbYipLkYXDxdTTPtZesljbyyzVR9KMNvI5ycJtOJu0pEabD2kMIGApR34slAqWQz-lX9lWqOchKA26ykGVR60N3_hmkoyDTXcjVSgPqKwsox5bikj064Px_eXhZSFJ8q5XALu1m2oK40U6PGHXpYitAVO5nhunOCej_PYZl6j7ot8DXgU5qNBSTB-Ets9zh1BiNkY=&xkcb=SoDT-_M3SyqrBSSFhp0KbzkdCdPP&p=9&fvj=0&vjs=3
Data Engineer,Data Engineer,Global Employees,Remote,"Passion for engineering and computer science around data.
Increase accessibility and effectiveness of data (work with analysts, data scientists, and developers…",EmployerActive 1 day ago,"₹10,00,000 - ₹30,00,000 a year",2023-03-15,/company/Global-Employees/jobs/Data-Engineer-20ffa9d0a016398d?fccid=0a420069a8b9978f&vjs=3
