,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
0,Technology Analyst: Data Science | Machine Learning,Data Analyst,Infosys Limited,"Bengaluru, Karnataka","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MIQa4zqo0SOUsw3GBZa1Y4V3tB0yzv-Qh7lkdaZkGB-r4dAQjxeJnVfkYd_ayry9nKpMZGll7gA-Mazz2IIL6DbxivFZepdv2InFAWchSrIDhgIXP60quz5G4Zz1bx_hvS11hRXRJWcg4-h9-pTNqYm8tvKHUlgT_-0W_Xc2BmGH_8NjS0VvPaPtXQkM3lsR48d8zPv9vhR9AHQblY4kfzY_ksUsqdr30HPytU5BJnCT4PN4tcFw8JqVa99q1F-RqKc1lthpGF6oBXgJ16a82I3HGc46gTBFuERA3_zT8Z3JKgcp7OyPHr8SIQdZot3ZK-Rzvaza6iEjVXusdjnAo8oMsWzU5GgNplTGnBs2h59e2PS-Hp37WCndim_LbtYYdYkZIsFKgiXEr7CTx27hSXxA4HGAqNsr_icy4G77SOyAp0-v0Vb3fhv7u6C7CeTPtMa9WOlaA3WnfldQuI6o6CfqMQEtUX2FH_0rI47UC5TNgC-B_fkpSrlRIzhtNIdw1tGyS6tuLBYT2j4IBArn0zw=&xkcb=SoAW-_M3Syq4w9SnVx0KbzkdCdPP&p=2&fvj=0&vjs=3
1,Lease Analyst,Data Analyst,Giant Eagle,"Yelahanka Satellite Town, Karnataka","Our team of more than 370 members at the GCC enables us to expand internal capabilities in the areas such as data analytics, merchandising and eCommerce,…",PostedPosted 13 days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0B9Z5kUrYpJSl1jY-NmjPX7HlwbyZlOtE5lNuYxyWYp6wH4w4oCjnyWdjbOnxpjmKqIX4hlkSL61mjcDTvL0Ecf0IR-cuJzF2mjY0BPq1BoZ6H6idezinphXZJAaT8E6zNp0K1Yiwt_4eEDq5MToDZk2S1d7OLIZMoc7SaBhCgjAI4t-ykbuyOcD-9yDV3qDv3GlB6TqNSL940Q31MQMqxV1l5sQw5400oi4YWNTB8uXVejhNrc7vquKLj3GA0KBrgVoAyvj6FMM86GOx9NhwOATYNxJPWZnSz6Xh25M5TfRpQjGlQvCKYk1m5OWrBFCBPWIEVB6JMfyTShe0kfFEi_ER8yyTcGQqSRCX_rlj1WMnVvB8C14VxgKoyKG5djdrrsztR0BMKMBH7o5K06TlENIJbfKDuAMUc-uF6S181YCQkwgBlNhAhW9fu1-gYInXPX5W110PHUkOaB1fQflAraAzX93wMYxLmb9IyDYGjYYGiGoQlov2F0N56O8yxuFT6odTUZaoY881yOhUAClak_1lOEyvyk-3g=&xkcb=SoCL-_M3Syq4w9SnVx0JbzkdCdPP&p=3&fvj=0&vjs=3
2,Senior Analyst - Technology Risk,Data Analyst,Deloitte,"Hyderabad, Telangana","Gathering data and refinement activities using the global delivery team.
Analytical and problem-solving mindset; demonstrated ability to synthesize large…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVEMH6N8XB8ugTc3UeC9e-vL0qdpbX_4VsIu-g8fDv7tqCYxAb230zKJw-MORqrHhVG3WsenZ2nqSuAb5t_bBURUa3x7RR2-QypiL8JD6m6GxKVYOuH5sYxd9MRmxSPodyHMMwfA2mElAQVUx0SXDoP4YOOr-BsolcZo14xUYp9E9EtYG3FbgE6JFuiMR55dAm--Q5iGITjMWvYVwtsBGDDyssgnUGX7FGhHlJOcfq0vZM3NxsVHNAhF0Vt5YU1gZqPjwNaQ9ectH-lErlBUeGCJXejmgYRPJaRlsS9_4DWebvblkJYSc3mXtl_b2QG0v8ZPC_NF-SJO2FJK04bMFiiRlOkueQgfuFGjtMVCuia3X7MWovPmaRlSytyZTWY8BM8SJgjh115R5KkTUjaoJuPtjfiG85vAID9WLB3f5CT_0l_A4NMPWh4vC52mWMtqNx8gXf6EKIWV20YW9MnDfbO7oPCinWTEpq2Ph9S0rsp4vWjaeNPFyegGwsyDh7H1DdG0Av6jJ2Hz9dTlbRbAGgjBB0brJQZkzc6HW66Q1BeOud-WrFEH_2fQDmrdh8aAv-6v3ThGTJxeo_b11mU3R62E=&xkcb=SoCx-_M3Syq4w9SnVx0PbzkdCdPP&p=4&fvj=0&vjs=3
3,Data Analyst / Reports Developer,Data Analyst,TheHive,Remote," Sound knowledge of databases and data structures.
 Bachelor’s Degree in Computer Science or related discipline.
 Certification in Project Management.",PostedPosted 14 days ago,"₹1,00,000 - ₹2,00,000 a month",2023-03-15,/company/TheHive/jobs/Data-Analyst-cb74d06e52c9b6b8?fccid=3f6264f8e7e6996f&vjs=3
4,Data Governance Analyst,Data Analyst,Go2,Remote,"Conduct data impact assessments to ensure compliance with data protection regulations.
Create and maintain our data dictionaries, data lineage, and other…",PostedPosted 12 days ago,"₹90,000 - ₹2,50,000 a month",2023-03-15,/company/Go2/jobs/Data-Governance-Analyst-5b68a9dea08936e9?fccid=29958947436d57ae&vjs=3
5,USI-PMO–Senior Analyst-Marketing and Campaign Operations,Data Analyst,Deloitte,"Hyderabad, Telangana","Collaborates with team members to merge and analyze data.
Good problem solving and analytical skills, with the ability to analyze data to provide actionable…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVEMH6N8XB8ugTc3UeC9e-vIvvz4Y5nbihttxhTbnACzIayv6lLyZtaVuXaay52DsY2_YCz7Y71XmLjk_PlXCZOqBqr_qOUcHY5jowmroFYckDuGBvXCa_a_vi7Xsk5ZeYOGuRFWTrsfAK5aB70FiQ81P_wH7wwcfo6ZhqqPeqUhznykPJbJs3vHf02Ho0etM-xitB-Uz8Ro3nquc7mkYQRY_T2yMxOrypAsGqCWEJFf3LI3hYn6r7WMTxA4yOVEzt7luAwJd77QvY1C7Ua59fRJMBPAIWgO-pPM15aMvfYQ9GSyyLOtbrercZV1HWjj3-G0Xcr0oy-MVquwX3tW8xVCfQ-InJxgO8v0647jN_1BEHOuFL8bvSIrba7zzTjDC62y2IWUQcX1qSmx_Mg2Z7dtXYYefhe-YNQjCUmKvuRsYgFdB1hN1v7VuV9EINQhWs7aHbuC7kZ-WGv6lahVz--_9THjPwpInccWI62tIkt2wU9K9WdqDdv89VRYaaBDYl8wtkDJZ9T8MFcRLdSynIyGT2rY9-6Bo188r_8gPw163FSsMTVM8Df6Z2vvNoO0noNDGh8oWbAkL5XONOg2BRN1L1CT_ylZp9LJB3x7j8ZdtCSeB3ytJ7GA=&xkcb=SoDd-_M3Syq4w8SnVx0KbzkdCdPP&p=11&fvj=0&vjs=3
6,Data Analyst,Data Analyst,QJ Consulting Private Limited,"Remote in Kolkata, West Bengal","Use data science concepts to develop intelligent dashboards using Python in Power BI.
Job Types: Full-time, Part-time.
Part-time hours: 25 per week.",EmployerActive 6 days ago,"₹20,000 - ₹45,000 a month",2023-03-15,/company/QJ-Consulting-Private-Limited/jobs/Data-Analyst-e8028dc2a9225cd7?fccid=1e98cafb48a8f130&vjs=3
7,Senior Data Catalog Product Analyst,Data Analyst,Boston Consulting Group,"New Delhi, Delhi","Can explain data concepts like metadata, data governance, data dictionary, business glossary, data lineage and train users on using the Data Catalog platform.",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1TTbUejwmjiSgq72YPe5icDm-vrnHojK4tZERC2CC28LEBskUUXAnV4QHcLb-J0UvRV746ZVlCh_uwbz38a5DdeSBb6EwbTiC7bv_A2relfmYbG5a65Z9-VfqlWkmnjK2fNyPZYpmkURs6h9znGED9OpM86uXV4l-oRrDiWOs-OTOde_T6MCUoD48VV4OOmiY-E_GDZdu1DiLr-TRe45C9gQDf8UNvxG5PX0FeDVWE9jjpx8Q-BV4c0nzLVXn3PLxOpRUwfUIxm3yYRC49DhelNPrWkI0rTYtAsn6fl5WRPI395e5B48HmiuJxDV1PlaHc5nzonwp0mZOsYRCM24P-WGujr8a_Yv4MAdiw7U6ZXCJNKHAWtdrEdhRDVVDPmBEj50Pu3fCA6VWoCddkq_WlncyjN3cVfvQ6BQsjd0J5tSZZz9WKk4skKk5xyXYvBsg8UOu7NqmuL3Q9xR9Gfw59kDDHqFiQ3VYbrbho-FZK6FB&xkcb=SoAs-_M3Syq4w8ynVx0LbzkdCdPP&p=13&fvj=0&vjs=3
8,DATA ANALYST,Data Analyst,GR GLOBAL ACE INVESTMENTS,"Visakhapatnam, Andhra Pradesh","A data analyst is someone who scrutinises information using data analysis tools.
The meaningful results they pull from the raw data help their employers or…",PostedPosted 11 days ago,"₹2,00,000 - ₹3,00,000 a year",2023-03-15,/rc/clk?jk=7d9b2577dbc43e3d&fccid=02d709f0e6a2dc4e&vjs=3
9,USI-PMO–Senior Analyst-Marketing and Campaign Operations,Data Analyst,Deloitte,"Hyderabad, Telangana","Collaborates with team members to merge and analyze data.
Good problem solving and analytical skills, with the ability to analyze data to provide actionable…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVEMH6N8XB8ugTc3UeC9e-vIvvz4Y5nbihttxhTbnACzIayv6lLyZtaVuXaay52DsY2_YCz7Y71XmLjk_PlXCZOqBqr_qOUcHY5jowmroFYckZDxyzXBECuMPQ5NSv83p61MYCMYTgmEVVVwV9ah4eafmTJ5U-GbevSi3XtRLxrydiW7ECAFlUXAfuSXGguRLfK0dWv94yiB3-bauJCfbM6Jm8wX0Qn7fzlafxQpkWyOZH7Sjnw8BRV3I-S58OZd81NwI6uodkVFTmtrco7HU7Dyy2l3P1dRChD9Y4qErAH03hLgZDoyKV84IHHuajSHjqDX8gJGIPpqPHWBcvS9YGYOZXeApvBWXyV1nR_WFPFH1N0zYxF1dWeeQLL_CW0o0u3YA6nto3wHjWFQIw7IshVULMgsSW8c4IOYtB5sMPD13I6QozNmYzgkE4yFNe_Om-Hcux9QCcJd4x3ZmQW8prVKKOqNb82U6OHkCTR1ACPzs0YRYoowVCUphd1a7IkJUo7OwbE3IO0ufEukfMI-hqrSb4sPyZmeybf0ZaHqDU_NLVzYOsL4BnWTpF2QIZ4RouiQ6OyeLRmoaaWExIwxKxhz0P7zDh8xtgiwwSU3iYWwQvTN5nY3UPw0=&xkcb=SoA_-_M3Syq4c2wHmR0KbzkdCdPP&p=1&fvj=0&vjs=3
