,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
0,Assistant Data Scientist,Data Scientist,Ascendeum,"Remote in Bengaluru, Karnataka","Providing technical expertise in data storage structures, data mining, and data cleansing.
Present information using data visualization techniques.",EmployerActive 1 day ago,"Up to ₹10,00,000 a year",2023-03-15,/company/Ascendeum/jobs/Assistant-Data-Scientist-80882eb80be84f27?fccid=550bb0deaf6f9c61&vjs=3
1,Technology Analyst: Data Science | Machine Learning,Data Scientist,Infosys Limited,"Bengaluru, Karnataka","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MIQa4zqo0SOUsw3GBZa1Y4V3tB0yzv-Qh7lkdaZkGB-r4dAQjxeJnVfkYd_ayry9nKpMZGll7gA-Mazz2IIL6DbxivFZepdv2InFAWchSrIDhgIXP60quz5G4Zz1bx_hvS11hRXRJWcgBs-Ux14dn6z3fhRZbB0OfrI3JzQBtsfIJXpaXn-QOasfCNIY1O6O6KslU6GLPvHzKFYFp7jVqQV1rz6ZXiEgl23Di3kLYs8gau2dLCVVpsFgYsQw5U_5qEpxZW1hTuCe8Pa1pD3yB-bED9Z_e2EGlYTZMbAAc7Pu7ei67ittuG8TnPfEMWKaaFS0M0XogchVaoVHIq8oo-v2UW-qTI4DHz9lYxS3kr-HEwz0LdEmlreQ3KbSw4xOsQHe-X-j_eN4hRPZbYku4P3ObpQ3WA3QyT83DWz-PAJRzTnUoB7Xdfq8DoZd8_lhQcMQhU_aWFY3FaQUhZgyzDjCO664BF3R00QIHK1dc5svk-uVmWaH3hz0uBMRL7wot7crcQlr3nwRmtYBvKhxP5o=&xkcb=SoCH-_M3SyrF_iwNHR0IbzkdCdPP&p=6&fvj=0&vjs=3
2,Data Scientist,Data Scientist,Pridetech labs pvt ltd Bangalore,Remote,"Experience working with and creating data architectures.
Knowledge and experience in statistical and data mining techniques.",PostedPosted 29 days ago,"From ₹5,00,000 a year",2023-03-15,/company/Pridetech-labs-pvt-ltd-Bangalore/jobs/Data-Scientist-7abc93fb606577de?fccid=893e00d091f0952f&vjs=3
3,Data Scientist (India Remote),Data Scientist,Token Metrics,"Remote in Hyderabad, Telangana+1 location","Master’s degree in computational linguistics, data science, data analytics, or similar will be advantageous.
Developing ML algorithms to analyze huge volumes of…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=4378e2fd73e531b4&fccid=bdb6ed382ffe4a54&vjs=3
4,Data Scientist,Data Scientist,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",Mapping diverse requirements to implementation on Azure/Big data platform with conflicting requirements and constraints.,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=3aa72c94afbc18e3&fccid=9ab138c02aaca829&vjs=3
5,Data Scientist,Data Scientist,way to job placement,"Chennai, Tamil Nadu","Adept understanding of various data science approaches, machine learning algorithms, and statistical methods.
Develop and enhance algorithms and models to solve…",PostedPosted 8 days ago,"₹6,84,903 - ₹19,05,954 a year",2023-03-15,/company/way-to-job-placement/jobs/Data-Scientist-0f9235360a44c44a?fccid=a4f6b74d3b771331&vjs=3
6,Technology Analyst: Data Science | Machine Learning,Data Scientist,Infosys Limited,"Bengaluru, Karnataka","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue…",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MIQa4zqo0SOUsw3GBZa1Y4V3tB0yzv-Qh7lkdaZkGB-r4dAQjxeJnVfkYd_ayry9nKpMZGll7gA-Mazz2IIL6DbxivFZepdv2InFAWchSrIDhgIXP60quz5G4Zz1bx_hvS11hRXRJWcg93y559GvDRm1N0h6hz9IgyfyC0WwL7oPyeNPBSRUkP8XSQ6TiBLIjU0bdd2ttqF6KRtIypF3U-f_PWcA8sQiVjT9X4JRoaihzMJT5pAfRCP1vU1yZeRbeo2_uz1aVOtIijpdhE5I_A5hd2yP5-f6oBisFomOYxnm_6KTS5FVb0xgqJbrddKu_jFG3vtN4Oclv2s3O232cK_hJYLATJPuCoEm56E5QkM5R4rAse5B0QUScUoELRUhLlx6jvAwQ4-Y43rfshbgSownbyqUq__0PQ-8d1OvYW6zs0MbyKKFLFKDETXS24WjuGXDN1E3Y7GpzY7EFctrcBzcrjjPh6h0BLfY5Nz7rzvjhVeXvlcpo8Z8zsX8m16kQQc9z3W96TtqapjC2tFX7uo=&xkcb=SoAu-_M3SyrFYuR9KZ0LbzkdCdPP&p=0&fvj=0&vjs=3
7,Data Scientist,Data Scientist,Aveon InfoTech PVT.LTD,"Delhi, Delhi","O Clean, aggregate, analyze, interpret data, and carry out quality analysis of it o Set up data warehouse for predictive/prescriptive analysis.",PostedPosted 12 days ago,"Up to ₹30,00,000 a year",2023-03-15,/company/Aveon-InfoTech-PVT.LTD/jobs/Data-Scientist-e3dfe91a27b264e6?fccid=c98085878872483f&vjs=3
8,Intern - Software|Data Science (Remote),Data Scientist,Crafteak,"Remote in Pune, Maharashtra","Be familiar with data visualization, jupyter notebook, numpy, pandas etc.
Be open to learn and be ready to take new challenges.
Preferred students from B.E./B.",PostedPosted 10 days ago,"From ₹4,500 a month",2023-03-15,/company/Crafteak/jobs/Intern-48bd701d49301ef3?fccid=de6abb1f081c9676&vjs=3
9,Data Scientist,Data Scientist,Revolo InfoTech,"Remote in Mumbai, Maharashtra","Geospatial and Temporal data analysis.
Big data: 1 year (Preferred).
Experience with Devops to manage data and model versions.",PostedPosted 15 days ago,"₹70,000 - ₹1,10,000 a month",2023-03-15,/company/Revolo-Infotech/jobs/Data-Scientist-a7f303744fb5f517?fccid=3f0dcf4317f40ce9&vjs=3
10,Junior Data Scientist - Artificial Intelligence Innovation,Data Scientist,Accenture,"Bengaluru, Karnataka","Designation: Management Level - Senior Analyst.
Years of Experience: 5 to 8 years.
You will be required to utilize the existing frameworks, standards, patterns…",PostedPosted 12 days ago,?,2023-03-15,/rc/clk?jk=0acccdc034d95aa7&fccid=a4e4e2eaf26690c9&vjs=3
