,job_role,job_salary_lower,job_salary_upper,job_location,mean_sal
7,Data Engineer,800000,1600000,Hyderabad,1200000.0
9,Data Engineer,1000000,3000000,Remote,2000000.0
10,Data Engineer,600000,1200000,Remote,900000.0
11,Data Engineer,1800000,1800000,Remote,1800000.0
12,Data Engineer,1490844,1490844,Remote,1490844.0
13,Data Engineer,220000,660000,Remote,440000.0
14,Data Engineer,220000,660000,Remote,440000.0
17,Data Engineer,1800000,1800000,Remote,1800000.0
18,Data Engineer,1490844,1490844,Remote,1490844.0
19,Data Engineer,600000,600000,Bengaluru,600000.0
20,Data Engineer,1000000,2000000,Remote,1500000.0
22,Data Engineer,372169,1631390,Remote,1001779.5
24,Data Engineer,300000,1500000,Remote,900000.0
25,Data Engineer,300000,300000,Temporarily Remote in Bengaluru,300000.0
27,Data Engineer,1500000,2200000,Remote,1850000.0
28,Data Engineer,7000000,8000000,Remote,7500000.0
29,Data Engineer,900632,2229561,Chennai,1565096.5
32,Data Engineer,2000000,4000000,Bengaluru,3000000.0
33,Data Engineer,120000,350000,Remote,235000.0
34,Data Engineer,500000,800000,Remote,650000.0
35,Data Engineer,1080000,1080000,Hyderabad,1080000.0
36,Data Engineer,300000,300000,Temporarily Remote in Bengaluru,300000.0
37,Data Engineer,700000,700000,Remote,700000.0
42,Data Engineer,796048,1945788,Bengaluru,1370918.0
43,Data Engineer,1300000,1300000,Remote,1300000.0
44,Data Engineer,2000000,2000000,Remote,2000000.0
45,Data Engineer,1440000,1440000,Remote,1440000.0
46,Data Engineer,704145,704145,Remote,704145.0
47,Data Engineer,1500000,3000000,Remote,2250000.0
48,Data Engineer,300000,300000,Temporarily Remote in Bengaluru,300000.0
50,Data Engineer,6000000,6000000,Bengaluru,6000000.0
54,Data Engineer,1400000,1400000,Remote,1400000.0
57,Data Engineer,1080000,1080000,Bengaluru,1080000.0
59,Data Engineer,300000,300000,Temporarily Remote in Bengaluru,300000.0
60,Data Engineer,400000,600000,Bengaluru,500000.0
61,Data Engineer,658343,2072355,Chennai,1365349.0
62,Data Engineer,1000000,2000000,Remote,1500000.0
64,Data Engineer,589767,1966346,Chennai,1278056.5
65,Data Engineer,400000,1800000,Bengaluru,1100000.0
69,Data Engineer,600000,1400000,Remote,1000000.0
71,Data Engineer,1080337,2222967,Noida,1651652.0
72,Data Engineer,300000,300000,Temporarily Remote in Bengaluru,300000.0
77,Data Engineer,1000000,1500000,Bengaluru,1250000.0
80,Data Engineer,704145,704145,Remote,704145.0
84,Data Engineer,1080000,1080000,Bengaluru,1080000.0
86,Data Engineer,2000000,2000000,Remote,2000000.0
87,Data Engineer,2542788,2542788,Remote,2542788.0
90,Data Engineer,796048,1945788,Bengaluru,1370918.0
91,Data Engineer,1500000,3000000,Remote,2250000.0
92,Data Engineer,180000,180000,Bengaluru,180000.0
97,Data Engineer,1080337,2222967,Noida,1651652.0
98,Data Engineer,400000,700000,Remote,550000.0
101,Data Engineer,1440000,1440000,Remote,1440000.0
103,Data Engineer,658343,2072355,Chennai,1365349.0
104,Data Engineer,1080000,1080000,Hyderabad,1080000.0
111,Data Engineer,300000,500000,Hyderabad,400000.0
116,Data Engineer,1500000,3300000,Pune,2400000.0
119,Data Engineer,250000,500000,Remote,375000.0
122,Data Engineer,500000,800000,Remote,650000.0
123,Data Engineer,1000000,2000000,Bengaluru,1500000.0
126,Data Engineer,600000,1400000,Remote,1000000.0
128,Data Engineer,1200000,3000000,Remote,2100000.0
129,Data Engineer,1500000,1500000,Remote,1500000.0
131,Data Engineer,3000000,3000000,Remote,3000000.0
134,Data Engineer,2000000,2500000,Remote,2250000.0
139,Data Engineer,813424,3000000,Bengaluru,1906712.0
142,Data Engineer,589767,1966346,Chennai,1278056.5
151,Data Engineer,660000,660000,Bengaluru,660000.0
154,Data Engineer,460000,640000,India,550000.0
156,Data Engineer,180000,180000,Kolkata,180000.0
159,Data Engineer,837381,2800000,Pune,1818690.5
163,Data Engineer,900000,1200000,Remote,1050000.0
169,Data Engineer,500000,800000,Chennai,650000.0
170,Data Engineer,240000,240000,Remote,240000.0
178,Data Engineer,1800000,1800000,Remote,1800000.0
184,Data Engineer,800000,800000,Gurgaon,800000.0
190,Data Engineer,400000,800000,Remote,600000.0
192,Data Engineer,480000,480000,Kolkata,480000.0
193,Data Engineer,180000,180000,Kolkata,180000.0
195,Data Engineer,813424,3000000,Bengaluru,1906712.0
201,Data Engineer,1000000,2000000,Mumbai,1500000.0
203,Data Engineer,300000,400000,Bengaluru,350000.0
204,Data Engineer,900632,2229561,Chennai,1565096.5
208,Data Engineer,1500000,1500000,Bengaluru,1500000.0
210,Data Engineer,1500000,1800000,Hyderabad,1650000.0
224,Data Engineer,50000,50000,Chennai,50000.0
232,Data Engineer,2200000,3000000,Bengaluru,2600000.0
235,Data Engineer,500000,1000000,Noida,750000.0
239,Data Engineer,50000,50000,Chennai,50000.0
242,Data Engineer,1200000,1200000,Remote,1200000.0
243,Data Engineer,2500000,3000000,Remote,2750000.0
245,Data Engineer,3000000,3000000,Bengaluru,3000000.0
248,Data Engineer,3000000,3000000,Bengaluru,3000000.0
251,Data Engineer,600000,600000,Temporarily Remote in Palladam,600000.0
253,Data Engineer,800000,1200000,Remote,1000000.0
257,Data Engineer,400000,800000,Remote,600000.0
264,Data Engineer,480000,480000,Remote,480000.0
272,Data Engineer,750000,850000,Remote,800000.0
281,Data Engineer,750000,850000,Remote,800000.0
286,Data Engineer,1000000,2500000,Chennai,1750000.0
287,Data Engineer,1500000,1500000,Remote,1500000.0
289,Data Engineer,1000000,4000000,Chennai,2500000.0
290,Data Engineer,800000,1200000,India,1000000.0
293,Data Engineer,400000,800000,Remote,600000.0
297,Data Engineer,3000000,3000000,Bengaluru,3000000.0
299,Data Engineer,2400000,3200000,Bengaluru,2800000.0
303,Data Analyst,1200000,1200000,Remote,1200000.0
304,Data Analyst,1080000,1080000,Remote,1080000.0
306,Data Analyst,240000,240000,Remote,240000.0
310,Data Analyst,300000,300000,Remote,300000.0
311,Data Analyst,1500000,3000000,Remote,2250000.0
312,Data Analyst,60000,180000,Remote,120000.0
314,Data Analyst,500000,2500000,Bengaluru,1500000.0
315,Data Analyst,700000,1000000,Bengaluru,850000.0
318,Data Analyst,519000,2049000,Remote,1284000.0
320,Data Analyst,600000,900000,Remote,750000.0
321,Data Analyst,800000,1000000,Mumbai,900000.0
324,Data Analyst,500000,1000000,Remote,750000.0
325,Data Analyst,2400000,3200000,Bengaluru,2800000.0
326,Data Analyst,800000,1200000,Remote,1000000.0
331,Data Analyst,300000,500000,Remote,400000.0
332,Data Analyst,750000,750000,Bengaluru,750000.0
334,Data Analyst,1500000,2822396,Pune,2161198.0
336,Data Analyst,544050,2474278,Remote,1509164.0
337,Data Analyst,1500000,2000000,Remote,1750000.0
338,Data Analyst,1200000,2500000,Remote,1850000.0
340,Data Analyst,800000,1600000,Bengaluru,1200000.0
347,Data Analyst,1800000,1800000,Remote,1800000.0
350,Data Analyst,120000,350000,Remote,235000.0
351,Data Analyst,500000,1200000,New Delhi,850000.0
355,Data Analyst,2000000,3000000,Remote,2500000.0
